📺央视数字频道,#genre#
广东卫视,http://uo202.1985001.xyz:66/udp/239.93.0.181:5140
广西卫视,http://111.162.165.87:8086/udp/225.1.2.81:5002
广西卫视,http://222.95.175.59:58888/udp/239.49.8.10:8000
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://111.162.165.87:8086/udp/225.1.2.61:5002
河南卫视,http://113.101.245.14:9988/udp/239.77.0.17:5146
河南卫视,http://114.104.182.18:8686/udp/238.1.79.65:4632
河南卫视,http://222.95.175.59:58888/udp/239.49.8.29:8000
河南卫视,http://114.246.181.8:4022/udp/239.3.1.50:8184
河南卫视,http://uo202.1985001.xyz:66/udp/239.93.42.45:5140
河北卫视,http://111.162.165.87:8086/udp/225.1.2.27:5002
河北卫视,http://113.101.245.14:9988/udp/239.77.1.214:5146
河北卫视,http://114.104.182.18:8686/udp/238.1.78.245:7832
河北卫视,http://222.95.175.59:58888/udp/239.49.8.114:8000
贵州卫视,http://111.162.165.87:8086/udp/225.1.2.28:5002
贵州卫视,http://114.104.182.18:8686/udp/238.1.78.244:7824
贵州卫视,http://222.95.175.59:58888/udp/239.49.8.49:8000
贵州卫视,http://114.246.181.8:4022/udp/239.3.1.149:8076
贵州卫视,http://uo202.1985001.xyz:66/udp/239.93.0.131:5140
四川卫视,http://113.101.245.14:9988/udp/239.77.0.159:5146
四川卫视,http://114.104.182.18:8686/udp/238.1.78.30:6168
四川卫视,http://111.162.165.87:8086/udp/225.1.1.123:5002
四川卫视,http://222.95.175.59:58888/udp/239.49.8.110:8000
四川卫视,http://uo202.1985001.xyz:66/udp/239.93.0.169:5140
云南卫视,http://111.162.165.87:8086/udp/225.1.1.250:5002
云南卫视,http://113.101.245.14:9988/udp/239.253.43.37:5146
云南卫视,http://222.95.175.59:58888/udp/239.49.0.177:8000
重庆卫视,http://111.162.165.87:8086/udp/225.1.1.155:5002
重庆卫视,http://114.246.181.8:4022/udp/239.3.1.122:8160
重庆卫视,http://114.104.182.18:8686/udp/238.1.78.31:6176
重庆卫视,http://222.95.175.59:58888/udp/239.49.8.57:9830
重庆卫视,http://uo202.1985001.xyz:66/udp/239.93.1.107:5140
安徽卫视,http://113.101.245.14:9988/udp/239.77.0.183:5146
安徽卫视,http://111.162.165.87:8086/udp/225.1.1.127:5002
安徽卫视,http://114.104.182.18:8686/udp/238.1.78.150:7072
安徽卫视,http://222.95.175.59:58888/udp/239.49.8.80:8000
安徽卫视,http://xrhui.f3322.org:8888/udp/233.50.201.113:5140
江西卫视,http://111.162.165.87:8086/udp/225.1.2.29:5002
江西卫视,http://113.101.245.14:9988/udp/239.77.1.219:5146
江西卫视,http://114.104.182.18:8686/udp/238.1.78.26:6136
江西卫视,http://114.246.181.8:4022/udp/239.3.1.123:8164
江西卫视,http://222.95.175.59:58888/udp/239.49.8.111:8000
东南卫视,http://111.162.165.87:8086/udp/225.1.2.235:5002
东南卫视,http://113.101.245.14:9988/udp/239.77.0.146:5146
东南卫视,http://114.104.182.18:8686/udp/238.1.78.22:6104
东南卫视,http://222.95.175.59:58888/udp/239.49.8.112:8000
东南卫视,http://114.246.181.8:4022/udp/239.3.1.156:8148
东南卫视,http://uo202.1985001.xyz:66/udp/239.93.0.42:5140
吉林卫视,http://111.162.165.87:8086/udp/225.1.2.26:5002
